transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,_txn_month
132,969,2023-01-06 11:00:00,4846.0,loan payment,2023-01
133,854,2023-01-06 12:00:00,4886.0,investment,2023-01
134,666,2023-01-06 13:00:00,2266.0,bill payment,2023-01
135,757,2023-01-06 14:00:00,4121.0,investment,2023-01
136,652,2023-01-06 15:00:00,3378.0,loan payment,2023-01
137,71,2023-01-06 16:00:00,376.0,purchase,2023-01
138,46,2023-01-06 17:00:00,2837.0,loan payment,2023-01
139,47,2023-01-06 18:00:00,1262.0,bill payment,2023-01
140,591,2023-01-06 19:00:00,2497.0,bill payment,2023-01
141,422,2023-01-06 20:00:00,4795.0,loan payment,2023-01
142,149,2023-01-06 21:00:00,3613.0,investment,2023-01
143,910,2023-01-06 22:00:00,3531.0,bill payment,2023-01
144,130,2023-01-06 23:00:00,4952.0,bill payment,2023-01
145,456,2023-01-07 00:00:00,4527.0,loan payment,2023-01
146,639,2023-01-07 01:00:00,1653.0,investment,2023-01
147,877,2023-01-07 02:00:00,1222.0,loan payment,2023-01
148,631,2023-01-07 03:00:00,4713.0,loan payment,2023-01
149,966,2023-01-07 04:00:00,29.0,investment,2023-01
150,997,2023-01-07 05:00:00,685.0,investment,2023-01
151,869,2023-01-07 06:00:00,4487.0,purchase,2023-01
152,505,2023-01-07 07:00:00,618.0,loan payment,2023-01
153,929,2023-01-07 08:00:00,71.0,investment,2023-01
154,774,2023-01-07 09:00:00,1275.0,bill payment,2023-01
155,244,2023-01-07 10:00:00,2295.0,purchase,2023-01
156,474,2023-01-07 11:00:00,1164.0,loan payment,2023-01
157,382,2023-01-07 12:00:00,1638.0,investment,2023-01
158,103,2023-01-07 13:00:00,1636.0,purchase,2023-01
159,489,2023-01-07 14:00:00,3726.0,purchase,2023-01
160,37,2023-01-07 15:00:00,1452.0,bill payment,2023-01
161,654,2023-01-07 16:00:00,1663.0,purchase,2023-01
162,549,2023-01-07 17:00:00,2512.0,loan payment,2023-01
163,520,2023-01-07 18:00:00,3279.0,investment,2023-01
164,743,2023-01-07 19:00:00,291.0,purchase,2023-01
165,333,2023-01-07 20:00:00,4991.0,purchase,2023-01
166,397,2023-01-07 21:00:00,1034.0,loan payment,2023-01
167,296,2023-01-07 22:00:00,4828.0,bill payment,2023-01
168,107,2023-01-07 23:00:00,3413.0,bill payment,2023-01
169,860,2023-01-08 00:00:00,1245.0,investment,2023-01
170,954,2023-01-08 01:00:00,4192.0,loan payment,2023-01
171,530,2023-01-08 02:00:00,4770.0,bill payment,2023-01
172,825,2023-01-08 03:00:00,4967.0,investment,2023-01
173,83,2023-01-08 04:00:00,795.0,investment,2023-01
174,934,2023-01-08 05:00:00,3327.0,bill payment,2023-01
175,288,2023-01-08 06:00:00,1677.0,loan payment,2023-01
176,982,2023-01-08 07:00:00,3018.0,purchase,2023-01
177,706,2023-01-08 08:00:00,3204.0,bill payment,2023-01
178,461,2023-01-08 09:00:00,4799.0,purchase,2023-01
179,215,2023-01-08 10:00:00,3785.0,purchase,2023-01
180,281,2023-01-08 11:00:00,2456.0,loan payment,2023-01
181,732,2023-01-08 12:00:00,3800.0,loan payment,2023-01
182,954,2023-01-08 13:00:00,543.0,investment,2023-01
183,459,2023-01-08 14:00:00,411.0,loan payment,2023-01
184,801,2023-01-08 15:00:00,3673.0,investment,2023-01
185,344,2023-01-08 16:00:00,139.0,bill payment,2023-01
186,194,2023-01-08 17:00:00,2349.0,purchase,2023-01
187,158,2023-01-08 18:00:00,4381.0,loan payment,2023-01
188,465,2023-01-08 19:00:00,2969.0,bill payment,2023-01
189,104,2023-01-08 20:00:00,1868.0,investment,2023-01
190,34,2023-01-08 21:00:00,2983.0,loan payment,2023-01
191,102,2023-01-08 22:00:00,4160.0,purchase,2023-01
192,639,2023-01-08 23:00:00,3659.0,bill payment,2023-01
193,726,2023-01-09 00:00:00,2796.0,loan payment,2023-01
194,325,2023-01-09 01:00:00,3107.0,loan payment,2023-01
195,944,2023-01-09 02:00:00,3522.0,bill payment,2023-01
196,808,2023-01-09 03:00:00,4870.0,investment,2023-01
197,691,2023-01-09 04:00:00,1230.0,investment,2023-01
198,592,2023-01-09 05:00:00,651.0,loan payment,2023-01
199,141,2023-01-09 06:00:00,3324.0,investment,2023-01
200,474,2023-01-09 07:00:00,733.0,investment,2023-01
201,31,2023-01-09 08:00:00,4907.0,bill payment,2023-01
202,884,2023-01-09 09:00:00,747.0,investment,2023-01
203,935,2023-01-09 10:00:00,4863.0,investment,2023-01
204,63,2023-01-09 11:00:00,1309.0,bill payment,2023-01
205,560,2023-01-09 12:00:00,3490.0,loan payment,2023-01
206,87,2023-01-09 13:00:00,349.0,loan payment,2023-01
207,304,2023-01-09 14:00:00,162.0,bill payment,2023-01
208,61,2023-01-09 15:00:00,1431.0,purchase,2023-01
209,396,2023-01-09 16:00:00,3061.0,bill payment,2023-01
210,334,2023-01-09 17:00:00,436.0,purchase,2023-01
211,952,2023-01-09 18:00:00,3568.0,investment,2023-01
212,786,2023-01-09 19:00:00,1145.0,loan payment,2023-01
214,284,2023-01-09 21:00:00,3339.0,purchase,2023-01
215,466,2023-01-09 22:00:00,959.0,investment,2023-01
216,80,2023-01-09 23:00:00,1383.0,loan payment,2023-01
217,692,2023-01-10 00:00:00,966.0,investment,2023-01
218,784,2023-01-10 01:00:00,1711.0,loan payment,2023-01
219,77,2023-01-10 02:00:00,2951.0,loan payment,2023-01
220,954,2023-01-10 03:00:00,2492.0,investment,2023-01
221,733,2023-01-10 04:00:00,1313.0,purchase,2023-01
222,905,2023-01-10 05:00:00,380.0,bill payment,2023-01
223,794,2023-01-10 06:00:00,2990.0,loan payment,2023-01
224,540,2023-01-10 07:00:00,2306.0,loan payment,2023-01
225,361,2023-01-10 08:00:00,4808.0,bill payment,2023-01
226,77,2023-01-10 09:00:00,2135.0,bill payment,2023-01
227,509,2023-01-10 10:00:00,2976.0,investment,2023-01
228,164,2023-01-10 11:00:00,4155.0,loan payment,2023-01
229,9,2023-01-10 12:00:00,2752.0,investment,2023-01
230,175,2023-01-10 13:00:00,4031.0,bill payment,2023-01
231,462,2023-01-10 14:00:00,2374.0,investment,2023-01
232,307,2023-01-10 15:00:00,772.0,loan payment,2023-01
233,588,2023-01-10 16:00:00,4072.0,purchase,2023-01
234,245,2023-01-10 17:00:00,1014.0,purchase,2023-01
235,122,2023-01-10 18:00:00,3765.0,loan payment,2023-01
236,185,2023-01-10 19:00:00,2856.0,investment,2023-01
237,32,2023-01-10 20:00:00,359.0,bill payment,2023-01
238,998,2023-01-10 21:00:00,2974.0,bill payment,2023-01
239,963,2023-01-10 22:00:00,696.0,purchase,2023-01
240,762,2023-01-10 23:00:00,4647.0,investment,2023-01
241,569,2023-01-11 00:00:00,3136.0,bill payment,2023-01
242,310,2023-01-11 01:00:00,4466.0,bill payment,2023-01
243,372,2023-01-11 02:00:00,2765.0,loan payment,2023-01
244,656,2023-01-11 03:00:00,3534.0,investment,2023-01
245,830,2023-01-11 04:00:00,3634.0,investment,2023-01
246,596,2023-01-11 05:00:00,2742.0,bill payment,2023-01
247,992,2023-01-11 06:00:00,1703.0,investment,2023-01
248,56,2023-01-11 07:00:00,2902.0,investment,2023-01
249,791,2023-01-11 08:00:00,3821.0,investment,2023-01
250,273,2023-01-11 09:00:00,4190.0,loan payment,2023-01
251,464,2023-01-11 10:00:00,694.0,bill payment,2023-01
252,678,2023-01-11 11:00:00,4350.0,purchase,2023-01
253,456,2023-01-11 12:00:00,2929.0,investment,2023-01
255,670,2023-01-11 14:00:00,3293.0,purchase,2023-01
256,249,2023-01-11 15:00:00,4701.0,loan payment,2023-01
257,698,2023-01-11 16:00:00,4036.0,bill payment,2023-01
258,994,2023-01-11 17:00:00,1166.0,loan payment,2023-01
259,78,2023-01-11 18:00:00,3071.0,bill payment,2023-01
260,534,2023-01-11 19:00:00,4455.0,loan payment,2023-01
261,108,2023-01-11 20:00:00,2339.0,bill payment,2023-01
262,273,2023-01-11 21:00:00,1302.0,loan payment,2023-01
263,764,2023-01-11 22:00:00,1894.0,purchase,2023-01
264,15,2023-01-11 23:00:00,1570.0,bill payment,2023-01
265,370,2023-01-12 00:00:00,993.0,purchase,2023-01
266,304,2023-01-12 01:00:00,2077.0,investment,2023-01
267,672,2023-01-12 02:00:00,1873.0,purchase,2023-01
268,205,2023-01-12 03:00:00,1989.0,bill payment,2023-01
269,981,2023-01-12 04:00:00,1746.0,purchase,2023-01
270,113,2023-01-12 05:00:00,2462.0,bill payment,2023-01
271,680,2023-01-12 06:00:00,1928.0,loan payment,2023-01
272,865,2023-01-12 07:00:00,710.0,investment,2023-01
274,441,2023-01-12 09:00:00,2083.0,investment,2023-01
275,186,2023-01-12 10:00:00,4671.0,purchase,2023-01
276,859,2023-01-12 11:00:00,3763.0,bill payment,2023-01
277,227,2023-01-12 12:00:00,404.0,purchase,2023-01
278,528,2023-01-12 13:00:00,1966.0,investment,2023-01
279,668,2023-01-12 14:00:00,3058.0,purchase,2023-01
280,354,2023-01-12 15:00:00,3462.0,investment,2023-01
281,623,2023-01-12 16:00:00,532.0,investment,2023-01
282,1,2023-01-12 17:00:00,1572.0,bill payment,2023-01
283,553,2023-01-12 18:00:00,2919.0,loan payment,2023-01
284,560,2023-01-12 19:00:00,2859.0,loan payment,2023-01
285,927,2023-01-12 20:00:00,559.0,purchase,2023-01
287,620,2023-01-12 22:00:00,842.0,bill payment,2023-01
288,161,2023-01-12 23:00:00,4492.0,loan payment,2023-01
290,871,2023-01-13 01:00:00,295.0,bill payment,2023-01
291,128,2023-01-13 02:00:00,2755.0,investment,2023-01
292,722,2023-01-13 03:00:00,3775.0,purchase,2023-01
293,151,2023-01-13 04:00:00,4474.0,investment,2023-01
294,444,2023-01-13 05:00:00,1455.0,loan payment,2023-01
295,767,2023-01-13 06:00:00,1476.0,loan payment,2023-01
296,471,2023-01-13 07:00:00,1786.0,bill payment,2023-01
297,463,2023-01-13 08:00:00,3665.0,investment,2023-01
298,730,2023-01-13 09:00:00,924.0,investment,2023-01
299,30,2023-01-13 10:00:00,297.0,bill payment,2023-01
300,473,2023-01-13 11:00:00,4200.0,purchase,2023-01
301,557,2023-01-13 12:00:00,2098.0,bill payment,2023-01
302,80,2023-01-13 13:00:00,4436.0,bill payment,2023-01
303,39,2023-01-13 14:00:00,1814.0,loan payment,2023-01
304,240,2023-01-13 15:00:00,1188.0,investment,2023-01
305,557,2023-01-13 16:00:00,2561.0,loan payment,2023-01
306,590,2023-01-13 17:00:00,4380.0,bill payment,2023-01
307,337,2023-01-13 18:00:00,1598.0,investment,2023-01
308,908,2023-01-13 19:00:00,1966.0,bill payment,2023-01
309,861,2023-01-13 20:00:00,1785.0,bill payment,2023-01
310,800,2023-01-13 21:00:00,4872.0,purchase,2023-01
311,952,2023-01-13 22:00:00,997.0,loan payment,2023-01
312,280,2023-01-13 23:00:00,1213.0,loan payment,2023-01
314,269,2023-01-14 01:00:00,1129.0,purchase,2023-01
315,916,2023-01-14 02:00:00,206.0,bill payment,2023-01
316,335,2023-01-14 03:00:00,3985.0,bill payment,2023-01
317,312,2023-01-14 04:00:00,535.0,bill payment,2023-01
318,53,2023-01-14 05:00:00,4737.0,purchase,2023-01
319,68,2023-01-14 06:00:00,1420.0,investment,2023-01
320,694,2023-01-14 07:00:00,4513.0,purchase,2023-01
321,34,2023-01-14 08:00:00,1302.0,bill payment,2023-01
322,796,2023-01-14 09:00:00,1204.0,investment,2023-01
323,818,2023-01-14 10:00:00,1958.0,bill payment,2023-01
324,386,2023-01-14 11:00:00,3665.0,purchase,2023-01
325,249,2023-01-14 12:00:00,4796.0,purchase,2023-01
326,111,2023-01-14 13:00:00,2227.0,investment,2023-01
327,94,2023-01-14 14:00:00,4264.0,purchase,2023-01
328,410,2023-01-14 15:00:00,3590.0,bill payment,2023-01
329,179,2023-01-14 16:00:00,1027.0,investment,2023-01
330,47,2023-01-14 17:00:00,3163.0,loan payment,2023-01
331,794,2023-01-14 18:00:00,3600.0,bill payment,2023-01
332,852,2023-01-14 19:00:00,4217.0,loan payment,2023-01
333,874,2023-01-14 20:00:00,4079.0,investment,2023-01
334,604,2023-01-14 21:00:00,57.0,investment,2023-01
335,376,2023-01-14 22:00:00,3673.0,bill payment,2023-01
336,724,2023-01-14 23:00:00,4481.0,purchase,2023-01
337,587,2023-01-15 00:00:00,837.0,bill payment,2023-01
338,890,2023-01-15 01:00:00,4732.0,purchase,2023-01
339,202,2023-01-15 02:00:00,2099.0,purchase,2023-01
340,445,2023-01-15 03:00:00,2066.0,bill payment,2023-01
341,919,2023-01-15 04:00:00,828.0,investment,2023-01
342,933,2023-01-15 05:00:00,4762.0,bill payment,2023-01
343,297,2023-01-15 06:00:00,3994.0,loan payment,2023-01
344,308,2023-01-15 07:00:00,3690.0,investment,2023-01
345,723,2023-01-15 08:00:00,1821.0,purchase,2023-01
347,338,2023-01-15 10:00:00,3124.0,bill payment,2023-01
348,945,2023-01-15 11:00:00,1639.0,investment,2023-01
349,923,2023-01-15 12:00:00,1553.0,purchase,2023-01
350,646,2023-01-15 13:00:00,3589.0,purchase,2023-01
351,842,2023-01-15 14:00:00,1914.0,investment,2023-01
352,66,2023-01-15 15:00:00,1446.0,loan payment,2023-01
353,792,2023-01-15 16:00:00,3327.0,purchase,2023-01
354,422,2023-01-15 17:00:00,3530.0,loan payment,2023-01
355,540,2023-01-15 18:00:00,3069.0,purchase,2023-01
356,924,2023-01-15 19:00:00,4126.0,investment,2023-01
357,629,2023-01-15 20:00:00,1008.0,purchase,2023-01
358,493,2023-01-15 21:00:00,1441.0,loan payment,2023-01
359,882,2023-01-15 22:00:00,4562.0,loan payment,2023-01
360,999,2023-01-15 23:00:00,3071.0,investment,2023-01
361,962,2023-01-16 00:00:00,274.0,loan payment,2023-01
362,317,2023-01-16 01:00:00,3741.0,loan payment,2023-01
363,942,2023-01-16 02:00:00,2284.0,investment,2023-01
364,837,2023-01-16 03:00:00,3885.0,purchase,2023-01
365,626,2023-01-16 04:00:00,3327.0,investment,2023-01
366,75,2023-01-16 05:00:00,2056.0,purchase,2023-01
367,714,2023-01-16 06:00:00,3154.0,purchase,2023-01
368,939,2023-01-16 07:00:00,3231.0,purchase,2023-01
369,59,2023-01-16 08:00:00,3150.0,bill payment,2023-01
370,386,2023-01-16 09:00:00,4910.0,purchase,2023-01
372,231,2023-01-16 11:00:00,732.0,investment,2023-01
373,617,2023-01-16 12:00:00,93.0,investment,2023-01
374,677,2023-01-16 13:00:00,4845.0,bill payment,2023-01
375,199,2023-01-16 14:00:00,3380.0,loan payment,2023-01
376,916,2023-01-16 15:00:00,3829.0,bill payment,2023-01
377,354,2023-01-16 16:00:00,3374.0,investment,2023-01
378,35,2023-01-16 17:00:00,1767.0,investment,2023-01
379,162,2023-01-16 18:00:00,4328.0,loan payment,2023-01
380,757,2023-01-16 19:00:00,2790.0,bill payment,2023-01
381,982,2023-01-16 20:00:00,3297.0,investment,2023-01
382,799,2023-01-16 21:00:00,2462.0,purchase,2023-01
383,895,2023-01-16 22:00:00,338.0,purchase,2023-01
384,471,2023-01-16 23:00:00,435.0,investment,2023-01
385,531,2023-01-17 00:00:00,779.0,purchase,2023-01
386,964,2023-01-17 01:00:00,3985.0,loan payment,2023-01
387,792,2023-01-17 02:00:00,617.0,investment,2023-01
388,852,2023-01-17 03:00:00,1862.0,bill payment,2023-01
389,423,2023-01-17 04:00:00,2682.0,investment,2023-01
390,348,2023-01-17 05:00:00,2134.0,loan payment,2023-01
391,694,2023-01-17 06:00:00,1310.0,bill payment,2023-01
392,935,2023-01-17 07:00:00,475.0,loan payment,2023-01
393,913,2023-01-17 08:00:00,1974.0,purchase,2023-01
394,147,2023-01-17 09:00:00,1955.0,purchase,2023-01
395,374,2023-01-17 10:00:00,2549.0,purchase,2023-01
396,688,2023-01-17 11:00:00,2370.0,loan payment,2023-01
397,675,2023-01-17 12:00:00,2049.0,loan payment,2023-01
398,416,2023-01-17 13:00:00,1194.0,investment,2023-01
399,687,2023-01-17 14:00:00,3944.0,bill payment,2023-01
400,494,2023-01-17 15:00:00,3227.0,bill payment,2023-01
401,559,2023-01-17 16:00:00,2792.0,loan payment,2023-01
402,256,2023-01-17 17:00:00,787.0,loan payment,2023-01
403,960,2023-01-17 18:00:00,3389.0,purchase,2023-01
404,686,2023-01-17 19:00:00,2428.0,loan payment,2023-01
405,103,2023-01-17 20:00:00,4087.0,purchase,2023-01
406,121,2023-01-17 21:00:00,4272.0,loan payment,2023-01
407,419,2023-01-17 22:00:00,2449.0,bill payment,2023-01
408,350,2023-01-17 23:00:00,4841.0,investment,2023-01
409,657,2023-01-18 00:00:00,1999.0,loan payment,2023-01
410,42,2023-01-18 01:00:00,1076.0,purchase,2023-01
411,367,2023-01-18 02:00:00,954.0,investment,2023-01
412,29,2023-01-18 03:00:00,38.0,purchase,2023-01
413,966,2023-01-18 04:00:00,1907.0,purchase,2023-01
414,892,2023-01-18 05:00:00,1707.0,investment,2023-01
415,785,2023-01-18 06:00:00,2824.0,investment,2023-01
416,977,2023-01-18 07:00:00,3375.0,investment,2023-01
417,14,2023-01-18 08:00:00,2498.0,loan payment,2023-01
418,920,2023-01-18 09:00:00,1675.0,investment,2023-01
419,953,2023-01-18 10:00:00,4629.0,loan payment,2023-01
420,818,2023-01-18 11:00:00,1580.0,bill payment,2023-01
421,825,2023-01-18 12:00:00,1743.0,bill payment,2023-01
422,485,2023-01-18 13:00:00,769.0,purchase,2023-01
423,189,2023-01-18 14:00:00,2167.0,purchase,2023-01
424,872,2023-01-18 15:00:00,1361.0,loan payment,2023-01
425,295,2023-01-18 16:00:00,3486.0,purchase,2023-01
426,183,2023-01-18 17:00:00,1278.0,bill payment,2023-01
428,548,2023-01-18 19:00:00,3959.0,loan payment,2023-01
429,882,2023-01-18 20:00:00,2617.0,investment,2023-01
431,14,2023-01-18 22:00:00,2640.0,purchase,2023-01
432,923,2023-01-18 23:00:00,2456.0,bill payment,2023-01
433,635,2023-01-19 00:00:00,1679.0,purchase,2023-01
434,595,2023-01-19 01:00:00,248.0,bill payment,2023-01
435,159,2023-01-19 02:00:00,3546.0,investment,2023-01
436,494,2023-01-19 03:00:00,3871.0,bill payment,2023-01
437,329,2023-01-19 04:00:00,3113.0,investment,2023-01
438,614,2023-01-19 05:00:00,1156.0,purchase,2023-01
439,849,2023-01-19 06:00:00,1567.0,investment,2023-01
440,83,2023-01-19 07:00:00,3748.0,loan payment,2023-01
441,556,2023-01-19 08:00:00,2167.0,loan payment,2023-01
442,580,2023-01-19 09:00:00,3461.0,bill payment,2023-01
443,560,2023-01-19 10:00:00,309.0,purchase,2023-01
444,569,2023-01-19 11:00:00,3708.0,purchase,2023-01
445,587,2023-01-19 12:00:00,4063.0,bill payment,2023-01
446,22,2023-01-19 13:00:00,4869.0,loan payment,2023-01
447,132,2023-01-19 14:00:00,258.0,investment,2023-01
448,465,2023-01-19 15:00:00,2578.0,bill payment,2023-01
449,456,2023-01-19 16:00:00,4139.0,investment,2023-01
450,302,2023-01-19 17:00:00,4333.0,investment,2023-01
451,955,2023-01-19 18:00:00,4690.0,purchase,2023-01
452,930,2023-01-19 19:00:00,2870.0,loan payment,2023-01
453,267,2023-01-19 20:00:00,733.0,investment,2023-01
454,799,2023-01-19 21:00:00,579.0,loan payment,2023-01
455,395,2023-01-19 22:00:00,229.0,purchase,2023-01
456,120,2023-01-19 23:00:00,1404.0,bill payment,2023-01
457,246,2023-01-20 00:00:00,2844.0,bill payment,2023-01
458,568,2023-01-20 01:00:00,2132.0,purchase,2023-01
459,38,2023-01-20 02:00:00,4241.0,purchase,2023-01
460,245,2023-01-20 03:00:00,4010.0,investment,2023-01
